P38242;FIRST;;;1,00000000;1;;;1,00000000;1;;2;ALG14
Q01477;JORGENSEN;0,45811558;2;0,24699816;2;0,38853503;3;0,44565546;3;64;287;UBP3
P35177;JORGENSEN;0,20458530;3;0,08387543;3;0,34857143;4;0,39400428;4;21;126;SPT7
P39940;JORGENSEN;0,08695322;8;0,06106982;4;0,24086871;124;0,35937500;27;16;93;RSP5
P11484;FIRST;;;0,04783028;5;;;0,38463548;6;;48;SSB1
Q12464;JORGENSEN;0,12584380;5;0,04609461;6;0,30964467;15;0,37331981;12;15;83;RVB2
P36160;FIRST;;;0,03903874;7;;;0,34610863;55;;68;RPF2
Q06410;JORGENSEN;0,01791142;48;0,03802805;8;0,21125541;168;0,33948339;85;6;59;ATG17
P38788;JORGENSEN;0,07735803;9;0,03215362;9;0,33701657;5;0,38373306;7;17;64;SSZ1
P15646;JORGENSEN;0,04579383;19;0,03172552;10;0,31162197;12;0,37417387;11;19;91;NOP1
P22147;JORGENSEN;0,03423116;28;0,02931294;11;0,29468599;31;0,36772421;16;8;56;KEM1
Q03330;FIRST;;;0,02740849;12;;;0,38273531;8;;33;GCN5
P60010;JORGENSEN;0,03727835;24;0,02614770;13;0,25154639;105;0,34586466;57;10;66;ACT1
P00330;JORGENSEN;0,02252070;41;0,02605430;14;0,31443299;11;0,36282968;21;6;42;ADH1
Q12499;JORGENSEN;0,05024985;16;0,02553281;15;0,33608815;7;0,38604773;5;17;76;NOP58
P39960;JORGENSEN;0,20393501;4;0,02354528;16;0,32317881;8;0,37265823;13;7;37;BEM2
P10591;FIRST;;;0,02324515;17;;;0,37022133;14;;32;SSA1
Q12522;JORGENSEN;0,02088466;43;0,02313849;18;0,30769231;18;0,38105100;9;20;75;TIF6
P04840;JORGENSEN;0,04981552;17;0,02126881;19;0,30160692;23;0,35299760;37;5;44;POR1
P02829;FIRST;;;0,01906075;20;;;0,36096126;24;;26;HSP82
Q02796;JORGENSEN;0,04883277;18;0,01880713;21;0,24847251;109;0,32090691;237;7;37;LGE1
P25343;JORGENSEN;0,05031459;15;0,01782362;22;0,28672150;49;0,35257485;38;5;30;RVS161
P33759;JORGENSEN;0,06217607;11;0,01763300;23;0,25258799;102;0,32309043;216;8;39;MRPS5
P53741;FIRST;;;0,01753999;24;;;0,36781609;15;;60;BRE5
Q02892;JORGENSEN;0,01433160;58;0,01711291;25;0,29828851;27;0,36689930;18;16;65;NOG1
P33297;JORGENSEN;0,04084186;21;0,01701228;26;0,25985091;92;0,34570221;59;8;49;RPT5
Q08004;JORGENSEN;0,01063816;70;0,01558444;27;0,26991150;78;0,34145210;73;11;62;BUD20
P48562;JORGENSEN;0,06430496;10;0,01504885;28;0,29082241;38;0,33553681;113;4;27;CLA4
P14120;JORGENSEN;0,05368385;14;0,01498343;29;0,33701657;6;0,38075530;10;14;48;RPL30
P10823;JORGENSEN;0,00000000;226;0,01491804;30;1,00000000;1;0,28862745;607;1;25;GPA2
P35732;JORGENSEN;0,03543653;27;0,01411220;31;0,29047619;41;0,34823752;47;9;37;DEF1
P02309;FIRST;;;0,01401848;32;;;0,35981423;25;;28;HHF1
P23202;JORGENSEN;0,00303586;111;0,01370195;33;0,23804878;130;0,32188935;225;4;28;URE2
P38011;JORGENSEN;0,01946721;45;0,01348782;34;0,31003812;14;0,36480793;20;7;45;ASC1
Q12159;FIRST;;;0,01347589;35;;;0,35444257;33;;26;YRA1
P31334;JORGENSEN;0,03767353;23;0,01341130;36;0,23484119;134;0,31133672;357;11;34;MRPL9
P17555;JORGENSEN;0,02465746;35;0,01341001;37;0,26754386;82;0,32674806;183;5;34;SRV2
P36520;JORGENSEN;0,03543889;26;0,01328021;38;0,24424424;117;0,31895991;258;10;33;MRPL10
Q12176;JORGENSEN;0,00871887;80;0,01302478;39;0,30964467;16;0,36744883;17;18;64;MAK21
P28274;JORGENSEN;0,05856662;13;0,01259309;40;0,30386052;21;0,35131265;42;7;36;URA7
P53549;JORGENSEN;0,02376471;38;0,01220005;41;0,29647631;28;0,34168988;71;5;36;RPT4
P38129;FIRST;;;0,01215706;42;;;0,35719486;31;;22;TAF5
P22579;JORGENSEN;0,00000000;286;0,01214266;43;0,00000000;259;0,32879160;165;2;35;SIN3
P53323;JORGENSEN;0,04176578;20;0,01191091;44;0,24497992;116;0,30788538;396;8;31;BUD32
P40991;JORGENSEN;0,02128506;42;0,01168705;45;0,31043257;13;0,36516993;19;15;68;NOP2
P35189;JORGENSEN;0,03146684;32;0,01151150;46;0,25337487;100;0,32747497;176;8;38;TAF14
Q00684;FIRST;;;0,01098817;47;;;0,35181644;41;;15;CDC14
Q08496;JORGENSEN;0,01443064;57;0,01086720;48;0,27477477;75;0,33175569;142;5;34;DIA2
P10964;JORGENSEN;0,02308838;39;0,01065760;49;0,32147563;9;0,35858709;29;7;33;RPA190
P39008;JORGENSEN;0,01348602;60;0,01037698;50;0,28538012;53;0,33676504;103;5;25;POP2
P32944;JORGENSEN;0,03630424;25;0,01004814;51;0,22953904;145;0,31100782;360;4;28;SWE1
P06700;JORGENSEN;0,00219630;122;0,00963897;52;0,24572004;115;0,32544771;193;5;31;SIR2
P37370;JORGENSEN;0,01632411;54;0,00961568;53;0,20872541;177;0,31847685;269;5;25;VRP1
Q06697;JORGENSEN;0,00819672;85;0,00958264;54;0,17027216;231;0,32783964;175;2;28;CDC73
Q06488;JORGENSEN;0,03238211;30;0,00954015;55;0,17231638;228;0,31875271;264;7;34;RSC2
P20434;JORGENSEN;0,08990401;7;0,00952038;56;0,28978622;42;0,33684211;102;13;41;RPB5
P33338;JORGENSEN;0,01465366;56;0,00951662;57;0,23084201;142;0,29743383;480;4;22;SLA2
P10592;FIRST;;;0,00949901;58;;;0,33227991;136;;23;SSA2
Q12071;JORGENSEN;0,00000000;214;0,00949854;59;1,00000000;1;0,30775664;398;2;13;VPS54
Q01454;JORGENSEN;0,00812554;88;0,00934137;60;0,24596774;114;0,32365875;211;3;17;CTF4
P24583;JORGENSEN;0,00000000;195;0,00918098;61;0,00000000;248;0,28727557;627;2;20;PKC1
P26321;JORGENSEN;0,01148871;66;0,00906454;62;0,30049261;24;0,35919961;28;11;52;RPL5
P32585;JORGENSEN;0,00932133;75;0,00876555;63;0,23018868;143;0,31312487;330;6;35;SRB5
P29366;JORGENSEN;0,06036852;12;0,00872013;64;0,24746450;112;0,29570108;502;8;25;BEM1
P07270;FIRST;;;0,00859687;65;;;0,34050428;82;;28;PHO4
P32496;JORGENSEN;0,00123428;134;0,00843329;66;0,25443170;98;0,31772070;275;7;39;RPN12
P39730;JORGENSEN;0,01376512;59;0,00824884;67;0,30653266;19;0,35788962;30;11;42;FUN12
P29453;JORGENSEN;0,00393012;103;0,00809992;68;0,29151732;36;0,35972630;26;9;43;RPL8B
P32790;FIRST;;;0,00808419;69;;;0,34578342;58;;11;SLA1
P39744;JORGENSEN;0,00334278;109;0,00801384;70;0,29901961;26;0,36175965;22;13;60;NOC2
Q01080;JORGENSEN;0,02294261;40;0,00774714;71;0,30808081;17;0,34594595;56;7;30;RPA49
