Regular name;ORF id;Polidity;Size;Function
RSA1;YPL193W;haploid;smaller;Ribosome biogenesis
LOC1;YFR001W;haploid;smaller;Ribosome biogenesis
RRP8;YDR083W;haploid;smaller;Ribosome biogenesis
SSF1;YHR066W;haploid;smaller;Ribosome biogenesis
RPA49;YNL248C;haploid;smaller;Ribosome biogenesis
DBP3;YNL228W;haploid;smaller;Ribosome biogenesis
RPA14;YDR156W;haploid;smaller;Ribosome biogenesis
RPL1B;YGL135W;haploid;smaller;Ribosomal subunits
;YDR115W;haploid;smaller;Ribosomal subunits
RPS1B;YML063W;haploid;smaller;Ribosomal subunits
RPL17A;YGL076C;haploid;smaller;Ribosomal subunits
RPL31A;YDL075W;haploid;smaller;Ribosomal subunits
RPL35A;YLR185W;haploid;smaller;Ribosomal subunits
RPL13A;YDL082W;haploid;smaller;Ribosomal subunits
RPL37B;YDR500C;haploid;smaller;Ribosomal subunits
RPL4B;YLL045C;haploid;smaller;Ribosomal subunits
RPL16A;YIL133C;haploid;smaller;Ribosomal subunits
RPP2B;YDR382W;haploid;smaller;Ribosomal subunits
RPL17A;YBL087C;haploid;smaller;Ribosomal subunits
RPL35B;YDL136W;haploid;smaller;Ribosomal subunits
RPS16B;YDL083C;haploid;smaller;Ribosomal subunits
RPL19A;YBR084C;haploid;smaller;Ribosomal subunits
RPS6B;YBR181C;haploid;smaller;Ribosomal subunits
RPL15B;YEL054C;haploid;smaller;Ribosomal subunits
DBP3;YGL078C;haploid;smaller;Ribosomal subunits
RPL21B;YPL079W;haploid;smaller;Ribosomal subunits
RPL18A;YMR242C;haploid;smaller;Ribosomal subunits
RPL37B;YDR500C;haploid;smaller;Ribosomal subunits
RPS29B;YDL061C;haploid;smaller;Ribosomal subunits
RPS18A;YDR450W;haploid;smaller;Ribosomal subunits
RPS33B;YLR264W;haploid;smaller;Ribosomal subunits
RPS8A;YBL072C;haploid;smaller;Ribosomal subunits
RML2;YEL050C;haploid;smaller;Ribosomal subunits
RPS21A;YKR057W;haploid;smaller;Ribosomal subunits
RPS0A;YGR214W;haploid;smaller;Ribosomal subunits
RPS19B;YNL302C;haploid;smaller;Ribosomal subunits
RPL2B;YIL018W;haploid;smaller;Ribosomal subunits
RPS0B;YLR048W;haploid;smaller;Ribosomal subunits
RPS10A;YOR293W;haploid;smaller;Ribosomal subunits
SSZ1;YHR064C;haploid;smaller;Translation
MSM1;YGR171C;haploid;smaller;Translation
ZUO1;YGR285C;haploid;smaller;Translation
;YER087W;haploid;smaller;Translation
DIA4;YHR011W;haploid;smaller;Translation
MAP1;YLR244C;haploid;smaller;Translation
RCS1;YGL071W;haploid;smaller;Known cell cycle regulators
SWE1;YJL187C;haploid;smaller;Known cell cycle regulators
CDH1;YGL003C;haploid;smaller;Known cell cycle regulators
WHI3;YNL197C;haploid;smaller;Known cell cycle regulators
HXK2;YGL253W;haploid;smaller;Glucose signaling
TPS1;YBR126C;haploid;smaller;Glucose signaling
GPA2;YER020W;haploid;smaller;Glucose signaling
MRPL9;YGR220C;haploid;smaller;Known mitochondrial function
MRPL38;YKL170W;haploid;smaller;Known mitochondrial function
CYT1;YOR065W;haploid;smaller;Known mitochondrial function
MRPL31;YKL138C;haploid;smaller;Known mitochondrial function
MRP7;YNL005C;haploid;smaller;Known mitochondrial function
MRPL31;YKL138C;haploid;smaller;Known mitochondrial function
MRF1;YGL143C;haploid;smaller;Known mitochondrial function
RIM1;YCR028C;haploid;smaller;Known mitochondrial function
ATP14;YLR295C;haploid;smaller;Known mitochondrial function
MSK1;YNL073W;haploid;smaller;Known mitochondrial function
MRPS5;YBR251W;haploid;smaller;Known mitochondrial function
OXA1;YER154W;haploid;smaller;Known mitochondrial function
ISM1;YPL040C;haploid;smaller;Known mitochondrial function
MSE1;YOL033W;haploid;smaller;Known mitochondrial function
PIF1;YML061C;haploid;smaller;Known mitochondrial function
SUV3;YPL029W;haploid;smaller;Known mitochondrial function
MRPL13;YKR006C;haploid;smaller;Known mitochondrial function
TOM37;YMR060C;haploid;smaller;Known mitochondrial function
MRPL23;YOR150W;haploid;smaller;Known mitochondrial function
MRP1;YDR347W;haploid;smaller;Known mitochondrial function
MRPL10;YNL284C;haploid;smaller;Known mitochondrial function
SCO1;YBR037C;haploid;smaller;Known mitochondrial function
IFM1;YOL023W;haploid;smaller;Known mitochondrial function
ATP12;YJL180C;haploid;smaller;Known mitochondrial function
ATP17;YDR377W;haploid;smaller;Known mitochondrial function
MSD1;YPL104W;haploid;smaller;Known mitochondrial function
ATP11;YNL315C;haploid;smaller;Known mitochondrial function
TUF1;YOR187W;haploid;smaller;Known mitochondrial function
MGM101;YJR144W;haploid;smaller;Known mitochondrial function
MRPS28;YDR337W;haploid;smaller;Known mitochondrial function
ATP4;YPL078C;haploid;smaller;Known mitochondrial function
MDM12;YOL009C;haploid;smaller;Known mitochondrial function
MRPL8;YJL063C;haploid;smaller;Known mitochondrial function
MRP20;YDR405W;haploid;smaller;Known mitochondrial function
COX10;YPL172C;haploid;smaller;Known mitochondrial function
ATP13;YMR282C;haploid;smaller;Known mitochondrial function
MRPS5;YBR251W;haploid;smaller;Known mitochondrial function
MEF1;YLR069C;haploid;smaller;Known mitochondrial function
MRPL15;YLR312W;haploid;smaller;Known mitochondrial function
MRPL6;YHR147C;haploid;smaller;Known mitochondrial function
MDM10;YAL010C;haploid;smaller;Known mitochondrial function
NAM2;YLR382C;haploid;smaller;Known mitochondrial function
PPT2;YPL148C;haploid;smaller;Known mitochondrial function
POR1;YNL055C;haploid;smaller;Known mitochondrial function
MRPL3;YMR024W;haploid;smaller;Known mitochondrial function
PET111;YMR257C;haploid;smaller;Known mitochondrial function
MSF1;YPR047W;haploid;smaller;Known mitochondrial function
CBP1;YJL209W;haploid;smaller;Known mitochondrial function
ATP11;YNL315C;haploid;smaller;Known mitochondrial function
COX7;YMR256C;haploid;smaller;Known mitochondrial function
ATP1;YBL099W;haploid;smaller;Known mitochondrial function
MSR1;YHR091C;haploid;smaller;Known mitochondrial function
MIP1;YOR330C;haploid;smaller;Known mitochondrial function
QCR10;YHR001W;haploid;smaller;Known mitochondrial function
MRPL37;YBR268W;haploid;smaller;Known mitochondrial function
FZO1;YBR179C;haploid;smaller;Known mitochondrial function
MMM1;YLL006W;haploid;smaller;Known mitochondrial function
KNH1;YDL049C;haploid;smaller;DNG Glicerol but MIT function
AGP2;YBR132C;haploid;smaller;DNG Glicerol but MIT function
;YMR097C;haploid;smaller;DNG Glicerol but MIT function
;YDR065W;haploid;smaller;DNG Glicerol but MIT function
;YDR470C;haploid;smaller;DNG Glicerol but MIT function
;YDL062W;haploid;smaller;DNG Glicerol but MIT function
;YML088W;haploid;smaller;DNG Glicerol but MIT function
QRI5;YLR204W;haploid;smaller;DNG Glicerol but MIT function
;YDL063C;haploid;smaller;DNG Glicerol but MIT function
;YGR102C;haploid;smaller;DNG Glicerol but MIT function
;YGR219W;haploid;smaller;DNG Glicerol but MIT function
MRPL17;YNL252C;haploid;smaller;DNG Glicerol but MIT function
;YOR200W;haploid;smaller;DNG Glicerol but MIT function
;YGL107C;haploid;smaller;DNG Glicerol but MIT function
EUG1;YDR518W;haploid;smaller;DNG Glicerol but MIT function
HAP4;YKL109W;haploid;smaller;DNG Glicerol but MIT function
;YGR150C;haploid;smaller;DNG Glicerol but MIT function
MEC3;YLR288C;haploid;smaller;DNG Glicerol but MIT function
SSA4;YER103W;haploid;smaller;DNG Glicerol but MIT function
;YJR113C;haploid;smaller;DNG Glicerol but MIT function
MAC1;YMR021C;haploid;smaller;DNG Glicerol but MIT function
;YGL129C;haploid;smaller;DNG Glicerol but MIT function
;YLR114C;haploid;smaller;DNG Glicerol but MIT function
;YGL220W;haploid;smaller;DNG Glicerol but MIT function
;YPR099C;haploid;smaller;DNG Glicerol but MIT function
GLO3;YER122C;haploid;smaller;DNG Glicerol but MIT function
;YNL213C;haploid;smaller;DNG Glicerol but MIT function
;YKL169C;haploid;smaller;DNG Glicerol but MIT function
;YPL005W;haploid;smaller;DNG Glicerol but MIT function
;YGL218W;haploid;smaller;DNG Glicerol but MIT function
;YDL057W;haploid;smaller;DNG Glicerol but MIT function
;YLR260W;haploid;smaller;DNG Glicerol but MIT function
;YGL218W;haploid;smaller;DNG Glicerol but MIT function
YCP4;YCR004C;haploid;smaller;DNG Glicerol but MIT function
;YJL046W;haploid;smaller;DNG Glicerol but MIT function
DHS1;YOR033C;haploid;smaller;DNG Glicerol but MIT function
;YGL246C;haploid;smaller;DNG Glicerol but MIT function
PEP3;YLR148W;haploid;smaller;DNG Glicerol but MIT function
;YMR158W;haploid;smaller;DNG Glicerol but MIT function
PHO85;YPL031C;haploid;smaller;DNG Glicerol but MIT function
RDI1;YDL135C;haploid;smaller;DNG Glicerol but MIT function
ISA2;YPR067W;haploid;smaller;DNG Glicerol but MIT function
;YPR100W;haploid;smaller;DNG Glicerol but MIT function
MNN9;YPL050C;haploid;smaller;DNG Glicerol but MIT function
;YGR165W;haploid;smaller;DNG Glicerol but MIT function
SCH9;YHR205W;haploid;smaller;Other function
PRS3;YHL011C;haploid;smaller;Other function
PHO5;YBR093C;haploid;smaller;Other function
SKY1;YMR216C;haploid;smaller;Other function
