YAL010C;MDM10;n/a;JORGENSEN ORIGINAL LIST
YAL016W;TPD3;n/a;JORGENSEN ORIGINAL LIST
YAL021C;CCR4;DAB hyper responsive;JORGENSEN ORIGINAL LIST
YAL035W;FUN12;n/a;JORGENSEN ORIGINAL LIST
YAL040C;CLN3;DAB intermed responsive;JORGENSEN ORIGINAL LIST
YAL041W;CDC24;n/a;JORGENSEN ORIGINAL LIST
YAL047C;SPC72;n/a;JORGENSEN ORIGINAL LIST
YBL006C;n/a;DAB responsive;JORGENSEN ORIGINAL LIST
YBL024W;NCL1;DAB responsive;JORGENSEN ORIGINAL LIST
YBL039C;URA7;DAB responsive;JORGENSEN ORIGINAL LIST
YBL051C;n/a;n/a;JORGENSEN ORIGINAL LIST
YGL070C;RPB9;DAB responsive;JORGENSEN ORIGINAL LIST
YBL058W;SHP1;n/a;JORGENSEN ORIGINAL LIST
YBL072C;RPS8A;NAM Hyper responsive;JORGENSEN ORIGINAL LIST
YBL087C;RPL17A;NAM unresponsive;JORGENSEN ORIGINAL LIST
YBL093C;ROX3;n/a;JORGENSEN ORIGINAL LIST
YBL094C;n/a;DAB responsive;JORGENSEN ORIGINAL LIST
YBL099W;ATP1;NAM Intermed responsive;JORGENSEN ORIGINAL LIST
YBL105C;PKC1;n/a;JORGENSEN ORIGINAL LIST
YBR022W;n/a;DAB responsive;JORGENSEN ORIGINAL LIST
YBR037C;SCO1;NAM Intermed responsive;JORGENSEN ORIGINAL LIST
YBR078W;ECM33;n/a;JORGENSEN ORIGINAL LIST
YBR081C;SPT7;n/a;JORGENSEN ORIGINAL LIST
YBR084C;RPL19A;NAM unresponsive;JORGENSEN ORIGINAL LIST
YBR085W;AAC3;DAB responsive;JORGENSEN ORIGINAL LIST
YBR091C;MRS5;n/a;JORGENSEN ORIGINAL LIST
YBR093C;PHO5;NAM responsive;JORGENSEN ORIGINAL LIST
YBR112C;CYC8;n/a;JORGENSEN ORIGINAL LIST
YBR122C;MRPL36;n/a;JORGENSEN ORIGINAL LIST
YBR126C;TPS1;NAM Intermed responsive;JORGENSEN ORIGINAL LIST
YBR132C;AGP2;NAM responsive;JORGENSEN ORIGINAL LIST
YBR154C;RPB5;n/a;JORGENSEN ORIGINAL LIST
YBR171W;SEC66;DAB hyper responsive;JORGENSEN ORIGINAL LIST
