YIL119C;RPI1;NAM responsive
YLR120C;YPS51;NAM responsive
YDR110W;FOB1;NAM Intermed responsive
YDR457W;TOM1;NAM Intermed responsive
YPR164W;SLM6;NAM Hyper responsive
YOR209C;NPT1;DAB responsive
YJR094W;RPL43B;DAB responsive and SMALL rib.
YOL068C;HST1;DAB responsive
YPR111W;DBF20;DAB responsive
YGR260W;TNA1;DAB responsive
YOR025W;HST3;DAB responsive
YDL042C;SIR2;DAB responsive
YMR035W;IMP2;DAB intermed responsive
YGL163C;RAD54;DAB intermed responsive
YDL056W;MBP1;DAB hyper responsive
YIL052C;rpl34b;SMALL ribosomal mutant
YJL189W;rpl39;SMALL ribosomal mutant
YDL184C;rpl41a;SMALL ribosomal mutant
YBR191W;rpl21a;SMALL ribosomal mutant
YLR325C;rpl38;SMALL ribosomal mutant
YOR312C;rpl20b;SMALL ribosomal mutant
YGR148C;rpl24b;SMALL ribosomal mutant
YKR094C;rpl40b;SMALL ribosomal mutant
YDL133C;rpl41b;SMALL ribosomal mutant
YJL191W;rps14b;SMALL ribosomal mutant
YGL031C;rpl24a;SMALL ribosomal mutant
YPL090C;rps6a;BIG ribosomal mutant
YFL034C;rpl22b;BIG ribosomal mutant
YNL067W;rpl9b;BIG ribosomal mutant
YJL190C;rps22a;BIG ribosomal mutant
YDR447C;rps17b;BIG ribosomal mutant
YNL096C;rps7b;BIG ribosomal mutant
YLR287C;rps30a;BIG ribosomal mutant
YOR182C;rps30b;BIG ribosomal mutant
YLR441C;rps1a;BIG ribosomal mutant
YBR189W;rps9b;BIG ribosomal mutant
YOR096W;rps7a;BIG ribosomal mutant
YML024W;rps17a;BIG ribosomal mutant
YDR025W;rps11a;BIG ribosomal mutant
YKL006W;rpl14a;BIG ribosomal mutant
YOL121C;rps19a;BIG ribosomal mutant
YGR027C;rps25a;BIG ribosomal mutant
YMR142C;rpl13b;BIG ribosomal mutant
YIL069C;rps24b;BIG ribosomal mutant
