EVENT;DATETIME;COUNTRY;IP_ADDR;USER_AGENT;BROWSER_NAME;BROWSER_VERSION;PLATFORM;MORE_NFO1;MORE_NFO2;FILE
"PAGE VISIT";"2015-02-10 13:03:08 UTC";;77.72.197.131;"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2272.43 Safari/537.36";"Google Chrome";41.0.2272.43;mac;"new visit on page QUERY (1)";--;/home/zoltandul/public_html/orthologfindertool.com/main.php
"PAGE VISIT";"2015-02-10 13:03:36 UTC";;77.72.197.131;"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2272.43 Safari/537.36";"Google Chrome";41.0.2272.43;mac;"new visit on page QUERY RESULTS (2)";--;/home/zoltandul/public_html/orthologfindertool.com/main.php
"NEW QUERY";"2015-02-10 13:03:41 UTC";;77.72.197.131;"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2272.43 Safari/537.36";"Google Chrome";41.0.2272.43;mac;"organism name is S.cerevisiae";--;/home/zoltandul/public_html/orthologfindertool.com/_includes/page_2_analysis.php
"PAGE VISIT";"2015-02-10 13:04:22 UTC";;77.72.197.131;"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2272.43 Safari/537.36";"Google Chrome";41.0.2272.43;mac;"new visit on page QUERY (1)";--;/home/zoltandul/public_html/orthologfindertool.com/main.php
"PAGE VISIT";"2015-02-10 13:04:28 UTC";;77.72.197.131;"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2272.43 Safari/537.36";"Google Chrome";41.0.2272.43;mac;"new visit on page QUERY RESULTS (2)";--;/home/zoltandul/public_html/orthologfindertool.com/main.php
"NEW QUERY";"2015-02-10 13:04:35 UTC";;77.72.197.131;"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2272.43 Safari/537.36";"Google Chrome";41.0.2272.43;mac;"organism name is S.cerevisiae";--;/home/zoltandul/public_html/orthologfindertool.com/_includes/page_2_analysis.php
"PAGE VISIT";"2015-02-10 13:05:39 UTC";;77.72.197.131;"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2272.43 Safari/537.36";"Google Chrome";41.0.2272.43;mac;"new visit on page Sources (5)";--;/home/zoltandul/public_html/orthologfindertool.com/main.php
"PAGE VISIT";"2015-02-10 13:05:40 UTC";;77.72.197.131;"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2272.43 Safari/537.36";"Google Chrome";41.0.2272.43;mac;"new visit on page About us (6)";--;/home/zoltandul/public_html/orthologfindertool.com/main.php
"PAGE VISIT";"2015-02-10 13:05:43 UTC";;77.72.197.131;"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2272.43 Safari/537.36";"Google Chrome";41.0.2272.43;mac;"new visit on page QUERY (1)";--;/home/zoltandul/public_html/orthologfindertool.com/main.php
"PAGE VISIT";"2015-02-10 13:05:52 UTC";;77.72.197.131;"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2272.43 Safari/537.36";"Google Chrome";41.0.2272.43;mac;"new visit on page QUERY RESULTS (2)";--;/home/zoltandul/public_html/orthologfindertool.com/main.php
