EVENT;DATETIME;SERVER_HOST;SERVER_ADDR;METHOD;FILE;ACTION_NAME;ACTION_ADD;COUNTRY;IP_ADDR;USER_AGENT;BROWSER_NAME;BROWSER_VERSION;PLATFORM;LANGUAGE;DOCUMENT_ROOT
"PAGE VISIT";"2018-03-10 02:05:42 Europe/Budapest";localhost;::1;GET;/domains/orthologfindertool.com/main.php;"page request";"QUERY (1)";;::1;"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.124 Safari/537.36";"Google Chrome";65.0.3325.124;mac;"hu,en;q=0.9,en-US;q=0.8";"/Users/Zoli/Google Drive/Sites/domains/orthologfindertool.com/main.php"
"PAGE VISIT";"2018-03-10 02:06:08 Europe/Budapest";localhost;::1;POST;/domains/orthologfindertool.com/main.php;"page request";"QUERY RESULTS (2)";;::1;"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.124 Safari/537.36";"Google Chrome";65.0.3325.124;mac;"hu,en;q=0.9,en-US;q=0.8";"/Users/Zoli/Google Drive/Sites/domains/orthologfindertool.com/main.php"
QUERY;"2018-03-10 02:06:10 Europe/Budapest";localhost;::1;POST;/domains/orthologfindertool.com/main.php;S.cerevisiae;"Details: type:one, spec:sc, q-t:orth";;::1;"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.124 Safari/537.36";"Google Chrome";65.0.3325.124;mac;"hu,en;q=0.9,en-US;q=0.8";"/Users/Zoli/Google Drive/Sites/domains/orthologfindertool.com/_includes/page_2_analysis.php"
"PAGE VISIT";"2018-03-10 02:07:30 Europe/Budapest";localhost;::1;POST;/domains/orthologfindertool.com/main.php;"page request";"QUERY RESULTS (2)";;::1;"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.124 Safari/537.36";"Google Chrome";65.0.3325.124;mac;"hu,en;q=0.9,en-US;q=0.8";"/Users/Zoli/Google Drive/Sites/domains/orthologfindertool.com/main.php"
QUERY;"2018-03-10 02:07:32 Europe/Budapest";localhost;::1;POST;/domains/orthologfindertool.com/main.php;S.cerevisiae;"Details: type:one, spec:sc, q-t:orth";;::1;"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.124 Safari/537.36";"Google Chrome";65.0.3325.124;mac;"hu,en;q=0.9,en-US;q=0.8";"/Users/Zoli/Google Drive/Sites/domains/orthologfindertool.com/_includes/page_2_analysis.php"
"PAGE VISIT";"2018-03-10 02:09:17 Europe/Budapest";localhost;::1;GET;/domains/orthologfindertool.com/main.php;"page request";"QUERY (1)";;::1;"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.124 Safari/537.36";"Google Chrome";65.0.3325.124;mac;"hu,en;q=0.9,en-US;q=0.8";"/Users/Zoli/Google Drive/Sites/domains/orthologfindertool.com/main.php"
"PAGE VISIT";"2018-03-10 02:09:18 Europe/Budapest";localhost;::1;GET;/domains/orthologfindertool.com/main.php;"page request";"Sources (5)";;::1;"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.124 Safari/537.36";"Google Chrome";65.0.3325.124;mac;"hu,en;q=0.9,en-US;q=0.8";"/Users/Zoli/Google Drive/Sites/domains/orthologfindertool.com/main.php"
"PAGE VISIT";"2018-03-10 02:41:19 Europe/Budapest";localhost;::1;GET;/domains/orthologfindertool.com/main.php;"page request";"QUERY (1)";;::1;"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.124 Safari/537.36";"Google Chrome";65.0.3325.124;mac;"hu,en;q=0.9,en-US;q=0.8";"/Users/Zoli/Google Drive/Sites/domains/orthologfindertool.com/main.php"
"PAGE VISIT";"2018-03-10 02:41:21 Europe/Budapest";localhost;::1;GET;/domains/orthologfindertool.com/main.php;"page request";"About me (6)";;::1;"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.124 Safari/537.36";"Google Chrome";65.0.3325.124;mac;"hu,en;q=0.9,en-US;q=0.8";"/Users/Zoli/Google Drive/Sites/domains/orthologfindertool.com/main.php"
"PAGE VISIT";"2018-03-10 02:43:25 Europe/Budapest";localhost;::1;GET;/domains/orthologfindertool.com/main.php;"page request";"About me (6)";;::1;"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.124 Safari/537.36";"Google Chrome";65.0.3325.124;mac;"hu,en;q=0.9,en-US;q=0.8";"/Users/Zoli/Google Drive/Sites/domains/orthologfindertool.com/main.php"
