pombase ORF id;number of orthologs;human orthologs
SPAC1006.05c;0;NONE
SPAC1071.05;1;METTL18
SPAC1071.07c;1;RPS15
SPAC1071.08;1;RPLP2
SPAC1093.03;1;FIG4
SPAC10F6.03c;2;CTPS2, CTPS1
SPAC10F6.11c;0;NONE
SPAC1142.04;1;NOC2L
SPAC11E3.15;1;RPL22
SPAC11G7.02;2;NEDD4, NEDD4L
SPAC11G7.04;1;UBA52
SPAC1250.05;1;RPL30
SPAC12G12.03;2;CSTF2, CSTF2T
SPAC12G12.08;0;NONE
SPAC12G12.13c;2;PAPD5, PAPD7
SPAC13D6.02c;2;ZCCHC13, CNBP
SPAC13D6.03c;1;ALKBH8
SPAC13D6.05;1;TBCB
SPAC13F5.04c;1;VTA1
SPAC13G6.01c;1;HLTF
SPAC13G6.02c;1;RPS3A
SPAC13G6.07c;1;RPS6
SPAC13G7.02c;7;HSPA8, HSPA1L, HSPA1A, HSPA5, HSPA6, HSPA1B, HSPA2
SPAC144.10c;1;PIGW
SPAC144.11;1;RPS11
SPAC144.13c;1;FZR1
SPAC14C4.14;1;ATP5A1
SPAC1556.01c;1;RAD50
SPAC15A10.15;1;SGOL1
SPAC16.05c;1;JAZF1
SPAC1635.01;3;VDAC3, VDAC1, VDAC2
SPAC16A10.04;3;RHOA, RHOC, RHOB
SPAC16C9.04c;1;CNOT4
SPAC16E8.09;0;NONE
SPAC16E8.10c;1;MRPS7
SPAC1705.03c;0;NONE
SPAC1751.04;0;NONE
SPAC1782.04;1;AURKAIP1
SPAC1783.02c;1;AGPAT9
SPAC1783.08c;1;RPL15
SPAC17A5.14;1;XRN1
SPAC17D4.04;1;NSUN2
SPAC17G6.06;1;RPS24
SPAC17G6.11c;0;NONE
SPAC17G8.14c;6;PRKCQ, PRKCB, PRKCE, PRKCH, PRKCD, PRKCA
SPAC17H9.13c;1;ALDH18A1
SPAC17H9.17c;0;NONE
SPAC1805.12c;1;UBA52
SPAC1805.13;1;RPL14
SPAC1805.15c;2;NEDD4, NEDD4L
SPAC18G6.14c;1;RPS7
SPAC1952.02;1;GPATCH4
SPAC19B12.04;1;FAU
SPAC19B12.11c;1;ZNF593
SPAC19D5.06c;1;DOM3Z
SPAC1B2.02c;0;NONE
SPAC1B3.09c;1;NOC2L
SPAC1B9.02c;5;SGK3, AKT2, SGK2, SGK1, AKT1
SPAC1B9.03c;1;PPAN
SPAC1D4.14;1;THOC2
SPAC1F5.02;4;PDIA3, PDIA4, P4HB, PDIA2
SPAC1F5.03c;0;NONE
SPAC1F7.05;1;RRM1
SPAC1F7.13c;1;RPL8
SPAC20G4.04c;2;HUS1, HUS1B
SPAC20G8.05c;2;PSTPIP1, PSTPIP2
SPAC222.03c;1;TIMM10
SPAC222.04c;1;INO80C
SPAC222.15;1;PSMC3IP
SPAC22A12.04c;1;RPS15A
SPAC22E12.06c;0;NONE
SPAC22E12.09c;1;PCSK7
SPAC22E12.13c;1;RSL24D1
SPAC22E12.14c;5;AKT2, SGK3, SGK1, SGK2, AKT1
SPAC22E12.17c;2;ARFGAP3, ARFGAP2
SPAC22E12.18;0;NONE
SPAC22F3.09c;0;NONE
SPAC22F3.12c;0;NONE
