P10734	kni NR0A1 CG4717	Zygotic gap protein knirps (Nuclear receptor subfamily 0 group A member 1)
Q9Y7I8	zuo1 SPBC1778.01c SPBC30D10.01	Zuotin (DnaJ-related protein zuo1) (J protein zuo1) (Ribosome-associated complex subunit zuo1)
P32527	ZUO1 YGR285C	Zuotin (DnaJ-related protein ZUO1) (J protein ZUO1) (Heat shock protein 40 homolog ZUO1) (Ribosome-associated complex subunit ZUO1)
F4K746	At5g37340	ZPR1 zinc-finger domain protein
F4K9W6	At5g22480	ZPR1 zinc-finger domain protein
Q9W053	zormin CG32307 Dmel_CG33484	Zormin, isoform F
Q96HE0	ZNF85	ZNF85 protein (Zinc finger protein 85)
Q49A12	ZNF85	ZNF85 protein (Zinc finger protein 85)
Q05DA6	ZNF394	ZNF394 protein (Zinc finger protein 394)
Q59E59	zip CG15792 Dmel_CG15792	Zipper, isoform D (EC 3.6.1.3)
Q59E58	zip CG15792 Dmel_CG15792	Zipper, isoform C (EC 3.6.1.3)
P47043	ZAP1 YJL056C J1145	Zinc-responsive transcriptional regulator ZAP1
B3H5X2	At3g61111	Zinc-binding ribosomal protein family protein
Q9BQ52	ELAC2 HPC2	Zinc phosphodiesterase ELAC protein 2 (EC 3.1.26.11) (ElaC homolog protein 2) (Heredity prostate cancer protein 2) (Ribonuclease Z 2) (RNase Z 2) (tRNA 3 endonuclease 2) (tRNase Z 2)
Q9H777	ELAC1 D29	Zinc phosphodiesterase ELAC protein 1 (EC 3.1.26.11) (Deleted in Ma29) (ElaC homolog protein 1) (Ribonuclease Z 1) (RNase Z 1) (tRNA 3 endonuclease 1) (tRNase Z 1)
F4JA10	PREP1 At3g19170	Zinc metalloprotease pitrilysin subfamily A
F4IU60	At2g44580	Zinc ion binding protein
F4IDS7	At1g12470	Zinc ion binding protein
P08048	ZFY	Zinc finger Y-chromosomal protein
P98169	ZXDB	Zinc finger X-linked protein ZXDB
P98168	ZXDA	Zinc finger X-linked protein ZXDA
P17010	ZFX	Zinc finger X-chromosomal protein
Q8LE46	At5g22480	Zinc finger protein-like
Q9FKK0	At5g60470	Zinc finger protein-like
Q2QGD7	ZXDC ZXDL	Zinc finger protein ZXDC (ZXD-like zinc finger protein)
O75312	ZPR1 ZNF259	Zinc finger protein ZPR1 (Zinc finger protein 259)
O13724	zpr1 SPAC15A10.04c	Zinc finger protein zpr1
P53303	ZPR1 YGR211W	Zinc finger protein ZPR1
Q8N9L1	ZIC4	Zinc finger protein ZIC 4 (Zinc finger protein of the cerebellum 4)
P47979	zfs1 moc4 SPBC1718.07c	Zinc finger protein zfs1 (Multicopy suppressor of overexpressed cyr1 protein 4)
Q9M202	ZAT9 At3g60580 T8B10.240	Zinc finger protein ZAT9
Q9LX85	ZAT8 At3g46080 F12M12.50	Zinc finger protein ZAT8
Q42453	ZAT7 At3g46090 F12M12.60	Zinc finger protein ZAT7
O22533	ZAT6 CZF2 At5g04340 T19N18.70	Zinc finger protein ZAT6 (COLD INDUCED ZINC FINGER PROTEIN 2)
Q681X4	ZAT5 At2g28200 T3B23.13	Zinc finger protein ZAT5
Q9SHD0	ZAT4 At2g45120 T14P1.7	Zinc finger protein ZAT4
O65499	ZAT3 DAZ2 At4g35280 F23E12.160	Zinc finger protein ZAT3 (Protein DUO1-ACTIVATED ZINC FINGER 2)
Q9SIJ0	ZAT2 DAZ1 At2g17180 T23A1.4	Zinc finger protein ZAT2 (Protein DUO1-ACTIVATED ZINC FINGER 1)
Q42410	ZAT12 RHL41 At5g59820 MMN10.11	Zinc finger protein ZAT12 (Protein RESPONSIVE TO HIGH LIGHT 41)
Q9SLD4	ZAT11 At2g37430 F3G5.22	Zinc finger protein ZAT11
Q96289	ZAT10 STZ At1g27730 T22C5.18	Zinc finger protein ZAT10 (Salt-tolerance zinc finger)
Q39092	ZAT1 At1g02030 T7I23.3	Zinc finger protein ZAT1
Q9UTS5	zas1 SPBC1198.04c	Zinc finger protein zas1
Q12139	YPR022C	Zinc finger protein YPR022C
Q12531	YPR015C LPZ14c	Zinc finger protein YPR015C
Q12145	YPR013C LPZ12c	Zinc finger protein YPR013C
P53243	YGR067C	Zinc finger protein YGR067C
P39959	YER130C	Zinc finger protein YER130C
Q9Y2L8	ZKSCAN5 KIAA1015 ZFP95	Zinc finger protein with KRAB and SCAN domains 5 (Zinc finger protein 95 homolog) (Zfp-95)
Q969J2	ZKSCAN4 ZNF307 ZNF427	Zinc finger protein with KRAB and SCAN domains 4 (P373c6.1) (Zinc finger protein 307) (Zinc finger protein 427)
Q9VJN5	wek l(2)35Ea CG4148	Zinc finger protein weckle
Q07351	STP4 YDL048C D2690	Zinc finger protein STP4
Q05937	STP3 YLR375W	Zinc finger protein STP3
O43623	SNAI2 SLUG SLUGH	Zinc finger protein SNAI2 (Neural crest transcription factor Slug) (Protein snail homolog 2)
Q9UTH8	sfp1 SPAC16.05c	Zinc finger protein sfp1
Q9P7D9	rsv1 SPBP4H10.09	Zinc finger protein rsv1 (Required for stationary phase viability protein 1)
P78871	rst2 SPAC6F12.02	Zinc finger protein rst2
P32338	RME1 YGR044C	Zinc finger protein RME1
Q9UPG8	PLAGL2 KIAA0198	Zinc finger protein PLAGL2 (Pleiomorphic adenoma-like protein 2)
Q9FFH3	NUC At5g44160 MLN1.8	Zinc finger protein NUTCRACKER
P33749	MSN4 YKL062W	Zinc finger protein MSN4 (Multicopy suppressor of SNF1 protein 4)
P33748	MSN2 YMR037C YM9532.02C	Zinc finger protein MSN2 (Multicopy suppressor of SNF1 protein 2)
Q9ZWA6	MGP At1g03840 F11M21.23	Zinc finger protein MAGPIE
Q02799	LEE1 YPL054W	Zinc finger protein LEE1
Q9US36	klf1 SPAC1039.05c	Zinc finger protein klf1 (Krueppel-like zinc finger transcription factor 1)
Q700D2	JKD IDZ3 At5g03150 F15A17.180	Zinc finger protein JACKDAW (ID1-like zinc finger protein 3)
Q7K0S9	sug CG3850	Zinc finger protein GLIS2 homolog (Protein sugarbabe)
P10070	GLI2 THP	Zinc finger protein GLI2 (Tax helper protein)
P08151	GLI1 GLI	Zinc finger protein GLI1 (Glioma-associated oncogene) (Oncogene GLI)
