YAL010C	P18409
YAL016W	P31383
YAL021C	P31384
YBL094C	P38173
YBL099W	P07251
YBR078W	P38248
YBR084C	P0CX82
YBR084C	P0CX83
YBR112C	P14922
YBR190W	P38303
YBR196C	Q3E820
YBR196C	Q3E778
YBR266C	P38343
YBR277C	P38350
YCR020W	Q9URQ5
YCR050C	P25630
YCR062W	P25639
YCR065W	P25364
YCR087C	P37263
YCR087W	P25652
YDL007W	P40327
YDL032W	Q12281
YDL061C	P41058
YDL062W	Q07410
YDL075W	P0C2H8
YDL083C	P0CX51
YDL083C	P0CX52
YDR064W	P05756
YDR081C	P32896
YDR378C	Q06406
YDR417C	P87267
YDR433W	P87269
YDR450W	P0CX55
YDR500C	P51402
YDR526C	P87274
YER014C	P85052
YER103W	P22202
YFR019W	P34756
YFR052W	P32496
YGL030W	P14120
YGL033W	P53187
YGL076C	P05737
YGL214W	P53087
YGL218W	P53084
YGL246C	P53063
YGL253W	P04807
YGR064W	P53240
YGR115C	P53269
YGR160W	P53288
YGR214W	P32905
YGR219W	P53307
YGR265W	P53325
YHR091C	P38714
YIL133C	P26784
YJL046W	P47051
YJL063C	P22353
YJL086C	P47028
YJL188C	O94143
YJR018W	P47091
YJR075W	P47124
YKL053W	P35733
YKL169C	P36050
YKL180W	P05740
YLL044W	Q07880
YLL045C	P29453
YLR029C	P05748
YLR048W	P46654
YLR185W	P49166
YLR312W	P36523
YLR322W	O13554
YLR338W	O94084
YML061C	P07271
YML063W	P23248
YMR116C	P38011
YMR121C	P54780
YMR256C	P10174
YNL055C	P04840
YNL171C	P53887
YNL226W	P53864
YNL228W	P53862
YNL243W	P33338
YNL302C	P07281
YNL324W	P53825
YOL086C	P00330
YOR117W	P33297
YOR200W	Q08620
YOR259C	P53549
YOR309C	Q12444
YPL050C	P39107
YPL078C	P05626
YPL131W	P26321
YPL142C	Q08916
YPR044C	C8ZJ69
YPR087W	O13584
YPR099C	O13548
YPR108W	Q3E7B3
YPR135W	Q01454
YDR110W	O13329
YJR094W	P0CX26
YJL189W	P04650
YKR094C	P0CH09
YDL133C	P0CX87
YJL191W	P39516
YFL034C	P56628
YJL190C	P0C0W1
YLR441C	P33442
YBR189W	P05755
YOR096W	P26786
YOL121C	P07280
YAL035W	P39730
YAL040C	P13365
YAL041W	P11433
YAL047C	P39723
YBL006C	P38210
YBL024W	P38205
YBL039C	P28274
YBL051C	P34217
YBL058W	P34223
YBL072C	P0CX39
YBL087C	P0CX41
YBL093C	P25046
YBL105C	P24583
YBR022W	P38218
YBR037C	P23833
YBR081C	P35177
YBR085W	P18238
YBR091C	P32830
YBR093C	P00635
YBR122C	P36531
YBR126C	Q00764
YBR132C	P38090
YBR154C	P20434
YBR171W	P33754
YBR179C	P38297
YBR181C	P0CX38
YBR200W	P29366
YBR202W	P38132
YBR251W	P33759
YBR268W	P36532
YBR278W	P27344
YBR279W	P38351
YBR289W	P18480
YCL005W	P25587
YCL016C	P25559
YCL058C	P25585
YCL061C	P25588
YCR002C	P25342
YCR004C	P25349
YCR009C	P25343
YCR024C	P25345
YCR025C	P25352
YCR026C	P25353
YCR027C	P25378
YCR028C	P25621
YCR035C	P25359
YCR045C	P25381
YCR052W	P25632
YCR061W	P25639
YCR063W	P25337
YCR094W	P25656
YDL014W	P15646
YDL021W	Q12008
YDL049C	P50112
YDL057W	Q07379
YDL063C	Q07395
YDL074C	Q07457
YDL082W	Q12690
YDL135C	Q12434
YDL136W	P0CX85
YDR027C	Q12071
YDR060W	Q12176
YDR065W	Q12167
YDR075W	P32345
YDR083W	P38961
YDR101C	Q03862
YDR115W	Q04598
YDR138W	P17629
YDR140W	Q03920
YDR156W	P50106
YDR159W	P46674
YDR195W	P42073
YDR226W	P07170
YDR245W	P50108
YDR264C	P39010
YDR300C	P32264
YDR337W	P21771
YDR347W	P10662
YDR359C	Q06337
YDR364C	P40968
YDR377W	Q06405
YDR382W	P02400
YDR404C	P34087
YDR405W	P32387
YDR470C	Q03327
YDR518W	P32474
YDR531W	Q04430
YDR532C	Q04431
YEL036C	P32629
YEL044W	P32617
YEL050C	P32611
YEL054C	P0CX53
YEL061C	P27895
YER020W	P10823
YER037W	P40025
YER068W	P34909
YER070W	P21524
YER087W	P39965
YER111C	P25302
YER116C	P40072
YER122C	P38682
YER125W	P39940
YER151C	Q01477
YER154W	P39952
YER155C	P39960
YER167W	P33306
YFL001W	P31115
YFL039C	P60010
YFR001W	P43586
YFR004W	P43588
YFR036W	P14724
YGL003C	P53197
YGL016W	P32767
YGL047W	P53178
YGL071W	P22149
YGL078C	P20447
YGL097W	P21827
YGL107C	P53140
YGL129C	Q01163
YGL135W	P0CX44
YGL143C	P30775
YGL173C	P22147
YGL220W	P53082
YGR006W	P33411
YGR036C	P53223
YGR056W	P53236
YGR063C	P32914
YGR078C	P48363
YGR092W	P22204
YGR102C	P53260
YGR104C	P32585
YGR111W	P53265
YGR150C	P48237
YGR165W	P53292
YGR167W	P17891
YGR171C	P22438
YGR180C	P49723
YGR220C	P31334
YGR262C	P53323
YGR285C	P32527
YHL011C	P38689
YHR001W	P38755
YHR009C	P38758
YHR011W	P38705
YHR021C	P38711
YHR034C	P38768
YHR064C	P38788
YHR066W	P38789
YHR143W	P38844
YHR147C	P32904
YHR158C	P38853
YHR205W	P11792
YIL004C	P22804
YIL009W	P39002
YIL011W	P40552
YIL018W	P0CX46
YIL034C	P13517
YIL040W	P40532
YIL047C	P40528
YIL054W	P40524
YIL110W	P40481
YIL121W	P40474
YIL125W	P20967
YIL154C	P32351
YIR026C	Q02256
YJL006C	P46962
YJL029C	P47061
YJL080C	P06105
YJL091C	P47026
YJL127C	P35208
YJL136C	Q3E754
YJL140W	P20433
YJL180C	P22135
YJL187C	P32944
YJL204C	P39531
YJL209W	P07252
YJR054W	P47114
YJR055W	P46973
YJR059W	P47116
YJR074W	P47123
YJR113C	P47150
YJR144W	P32787
YJR145C	P0CX35
YKL009W	P33201
YKL023W	P36103
YKL054C	P35732
YKL101W	P34244
YKL109W	P14064
YKL138C	P14063
YKL143W	P34078
YKL165C	P36051
YKL170W	P35996
YKL204W	P36041
YKR006C	Q02204
YKR020W	P36116
YKR024C	P36120
YKR055W	Q00246
YKR057W	P0C0V8
YLL002W	Q07794
YLL006W	P41800
YLR009W	Q07915
YLR032W	P32849
YLR068W	Q12247
YLR069C	P25039
YLR074C	Q08004
YLR114C	Q12500
YLR131C	P21192
YLR148W	P27801
YLR181C	Q06263
YLR182W	P09959
YLR184W	Q06267
YLR200W	P52553
YLR204W	P32344
YLR212C	P53378
YLR226W	Q05949
YLR233C	P17214
YLR240W	P22543
YLR244C	Q01662
YLR260W	Q06147
YLR264W	P0C0X0
YLR268W	P22214
YLR288C	Q02574
YLR293C	P32835
YLR295C	Q12349
YLR318W	Q06163
YLR320W	Q06164
YLR337C	P37370
YLR357W	Q06488
YLR358C	O13565
YLR382C	P11325
YLR386W	Q06708
YLR399C	P35817
YLR402W	Q06057
YLR403W	P32432
YLR418C	Q06697
YLR422W	Q06409
YLR423C	Q06410
YLR452C	P11972
YML014W	P49957
YML088W	Q04511
YML094W	Q04493
YML112W	P46963
YML122C	Q03207
YMR014W	Q04347
YMR021C	P35192
YMR024W	P36516
YMR032W	Q05080
YMR060C	P50110
YMR091C	P32832
YMR097C	Q03151
YMR158W	Q03799
YMR198W	Q01649
YMR216C	Q03656
YMR242C	P0CX23
YMR257C	P08468
YMR269W	Q03525
YMR275C	P48524
YMR282C	P22136
YMR284W	P32807
YNL005C	P12687
YNL059C	P53946
YNL061W	P40991
YNL064C	P25491
YNL073W	P32048
YNL126W	P53540
YNL138W	P17555
YNL139C	P53552
YNL148C	P53904
YNL197C	P34761
YNL213C	P40156
YNL227C	P53863
YNL229C	P23202
YNL238W	P13134
YNL248C	Q01080
YNL250W	P12753
YNL252C	P36528
YNL255C	P53849
YNL284C	P36520
YNL298W	P48562
YNL315C	P32453
YNL325C	P42837
YNR023W	P53628
YNR052C	P39008
YOL004W	P22579
YOL009C	Q92328
YOL023W	P25038
YOL033W	P48525
YOL040C	Q01855
YOL051W	P19659
YOL076W	Q12387
YOL081W	P19158
YOL115W	P53632
YOL120C	P0CX49
YOL144W	Q08287
YOR014W	P38903
YOR026W	P26449
YOR033C	P39875
YOR035C	P51534
YOR065W	P07143
YOR073W	Q08490
YOR078W	Q08492
YOR080W	Q08496
YOR083W	Q12416
YOR141C	Q12386
YOR150W	Q12487
YOR187W	P02992
YOR198C	P38934
YOR206W	P39744
YOR241W	Q08645
YOR258W	Q08702
YOR293W	Q08745
YOR295W	Q08747
YOR310C	Q12499
YOR330C	P15801
YOR341W	P10964
YOR360C	P06776
YOR369C	P48589
YPL005W	Q12089
YPL029W	P32580
YPL031C	P17157
YPL040C	P48526
YPL042C	P39073
YPL055C	Q02796
YPL079W	Q12672
YPL080C	Q02826
YPL093W	Q02892
YPL104W	P15179
YPL129W	P35189
YPL148C	Q12036
YPL161C	P39011
YPL169C	Q99257
YPL172C	P21592
YPL180W	Q08921
YPL193W	Q08932
YPL235W	Q12464
YPL254W	Q12060
YPL268W	P32383
YPR016C	Q12522
YPR043W	P0CX25
YPR045C	Q12049
YPR047W	P08425
YPR067W	Q12425
YPR100W	Q06090
YPR119W	P24869
YPR139C	Q06508
YPR141C	P17119
YPR159W	P32486
YPR163C	P34167
YGL070C	P27999
YDL191W	P0CX84
YIL119C	P23250
YLR120C	P32329
YDR457W	Q03280
YPR164W	Q06211
YOR209C	P39683
YOL068C	P53685
YPR111W	P32328
YGR260W	P53322
YOR025W	P53687
YDL042C	P06700
YMR035W	P46972
YGL163C	P32863
YDL056W	P39678
YIL052C	P40525
YDL184C	P0CX86
YBR191W	Q02753
YLR325C	P49167
YOR312C	P0CX24
YGR148C	P24000
YGL031C	P04449
YPL090C	P0CX37
YNL067W	P51401
YDR447C	P14127
YNL096C	P48164
YLR287C	Q05881
YOR182C	P0CX34
YML024W	P02407
YDR025W	P0CX47
YKL006W	P36105
YGR027C	Q3E792
YMR142C	P40212
YIL069C	P0CX32
