YGD ORF id;number of orthologs;pombase orthologs
YAL010C;1;SPAC17H9.17c
YAL016W;1;SPAP8A3.09c
YAL021C;1;SPCC31H12.08c
YAL035W;1;SPAC56F8.03
YAL040C;0;NONE
YAL041W;1;SPAC16E8.09
YAL047C;1;SPCC417.07c
YBL006C;0;NONE
YBL024W;2;SPAC23C4.17, SPAC17D4.04
YBL039C;1;SPAC10F6.03c
YBL051C;2;SPAC12G12.03, SPBC16A3.18
YGL070c;0;NONE
YBL058W;1;SPAC343.09
YBL072C;2;SPAC521.05, SPAC2C4.16c
YBL087C;2;SPCC1322.11, SPAC3G9.03
YBL093C;1;SPCC1450.05c
YBL094C;0;NONE
YBL099W;1;SPAC14C4.14
YBL105C;2;SPBC12D12.04c, SPAC17G8.14c
YBR022W;0;NONE
YBR037C;1;SPBC119.06
YBR078W;2;SPAC1705.03c, SPCC1223.12c
YBR081C;1;SPBC25H2.11c
YBR084C;2;SPCC1682.14, SPBC56F2.02
YBR085W;1;SPBC530.10c
YBR091C;1;SPAC222.03c
YBR093C;3;SPBC21H7.03c, SPBC428.03c, SPBP4G3.02
YBR112C;1;SPBC23E6.09
YBR122C;1;SPBC1711.18
YBR126C;1;SPAC328.03
YBR132C;0;NONE
YBR154C;1;SPAC23C4.15
YBR171W;1;SPBC409.21
YBR179C;1;SPBC1706.03
YBR181C;2;SPAPB1E7.12, SPAC13G6.07c
YBR190W;0;NONE
YBR196C;1;SPBC1604.05
YBR200W;1;SPAC22H10.07
YBR202W;1;SPBC25D12.03c
YBR251W;1;SPAC4G9.17c
YBR266C;0;NONE
YBR268W;1;SPCC645.09
YBR277C;0;NONE
YBR278W;1;SPCC16C4.22
YBR279W;1;SPAC664.03
YBR289W;1;SPAC2F7.08c
YCL005W;1;SPBC1685.16
YCL016C;1;SPAC31A2.15c
YCL058C;0;NONE
YCL060C;0;NONE
YCL061C;1;SPAC694.06c
YCR002C;1;SPAC821.06
YCR004C;1;SPAC3C7.14c
YCR009C;1;SPBC725.09c
YCR020W;0;NONE
YCR024C;1;SPBC1198.10c
YCR025C;0;NONE
YCR026C;1;SPBC725.05c
YCR027C;1;SPBC428.16c
YCR028C;2;SPAC2F3.04c, SPBC2G2.01c
YCR035C;1;SPBC17D1.03c
YCR045C;0;NONE
YCR050C;0;NONE
YCR052W;1;SPAC23G3.10c
YCR061W;1;SPBC3B8.06
YCR062W;0;NONE
YCR063W;1;SPBC24C6.11
YCR065W;2;SPBC4C3.12, SPBC32H8.11
YCR087C;1;SPBC215.06c
YCR087W;0;NONE
YCR094W;2;SPBC1773.11c, SPBC11B10.07c
YDL007W;1;SPBC4.07c
YDL014W;1;SPBC2D10.10c
YDL021W;1;SPAC26F1.06
YDL032W;0;NONE
YDL049C;1;SPBC11C11.05
YDL057W;0;NONE
YDL061C;1;SPBC1685.09
YDL062W;0;NONE
YDL063C;1;SPBC1703.03c
YDL074C;2;SPCC970.10c, SPCC1919.15
YDL075W;1;SPAC890.08
YDL082W;1;SPAC664.05
YDL083C;2;SPAC664.04c, SPBC18H10.14
YDL135C;1;SPAC6F12.06
YDL136W;1;SPCC613.05c
YDR027C;1;SPAC2F3.10
YDR060W;1;SPAC4F10.09c
YDR064W;1;SPAC6F6.07c
YDR065W;0;NONE
YDR075W;1;SPBC26H8.05c
YDR081C;3;SPBC1105.04c, SPBC14F5.12c, SPAC9E9.10c
YDR083W;1;SPAC56F8.09
YDR101C;1;SPBC23E6.05
YDR115W;1;SPBC21C3.04c
YDR138W;0;NONE
YDR140W;1;SPAC323.05c
YDR156W;1;SPBC1718.03
YDR159W;2;SPCC70.06, SPCC576.05
YDR195W;0;NONE
YDR226W;1;SPAC4G9.03
YDR245W;7;SPBC8D2.17, SPBC1289.13c, SPAC637.06, SPAC22E12.06c, SPAC5H10.13c, SPAC5H10.11, SPCC736.04c
